No,filename,data_split,Links,main_label,sub_label,Healthy Lifestyle and Weight Loss,Weight Lifting,Running,Yoga,Haircare,Makeup,Skincare,Outfit,Accommodation,Adventure,Culture,Food and drink,duration,frame_count,height,width,fps
10,Travel_10.mp4,train,https://www.tiktok.com/@we.go.girls/video/7262708042704112902?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,125.9666667,3779,1024,576,30
11,Travel_11.mp4,test,https://www.tiktok.com/@widsawaphatiew/video/7132435096044326170?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,14.66666667,440,1024,576,30
11,Travel_11.mp4,validation,https://www.tiktok.com/@widsawaphatiew/video/7132435096044326170?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,14.66666667,440,1024,576,30
12,Travel_12.mp4,train,https://www.tiktok.com/@widsawaphatiew/video/7253779863063055621?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,22,660,1024,576,30
47,Travel_47.mp4,test,https://www.tiktok.com/@akin.family1/video/7307192980157320453,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,117.7666667,3533,1024,576,30
47,Travel_47.mp4,validation,https://www.tiktok.com/@akin.family1/video/7307192980157320453,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,117.7666667,3533,1024,576,30
48,Travel_48.mp4,train,https://www.tiktok.com/@babyjolystar/video/7270463328810437894?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,37.33333333,1120,1024,576,30
13,Travel_13.mp4,test,https://www.tiktok.com/@wandergirlsth/video/7271223994987138310?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Adventure, Accommodation, Food and drink",0,0,0,0,0,0,0,0,1,1,0,1,86.1,2583,1024,576,30
13,Travel_13.mp4,validation,https://www.tiktok.com/@wandergirlsth/video/7271223994987138310?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Adventure, Accommodation, Food and drink",0,0,0,0,0,0,0,0,1,1,0,1,86.1,2583,1024,576,30
24,Travel_24.mp4,test,https://www.tiktok.com/@mdp.mundeepa/video/7307812758035172613,Travel,"Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,0,1,108.3333333,3250,1024,576,30
24,Travel_24.mp4,validation,https://www.tiktok.com/@mdp.mundeepa/video/7307812758035172613,Travel,"Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,0,1,108.3333333,3250,1024,576,30
15,Travel_15.mp4,train,https://www.tiktok.com/@zinonebee21/video/7310133939279006982,Travel,Culture,0,0,0,0,0,0,0,0,0,0,1,0,60.1,1803,1024,576,30
14,Travel_14.mp4,test,https://www.tiktok.com/@sneakoutclub/video/7313141977707498770,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,57.03333333,1711,1024,576,30
14,Travel_14.mp4,validation,https://www.tiktok.com/@sneakoutclub/video/7313141977707498770,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,57.03333333,1711,1024,576,30
16,Travel_16.mp4,train,https://www.tiktok.com/@umetraveltogether/video/7291065486442269958?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,42.13333333,1264,1024,576,30
17,Travel_17.mp4,test,https://www.tiktok.com/@yaiifai.said/video/7176999475150474523?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,101.0666667,3032,1024,576,30
17,Travel_17.mp4,validation,https://www.tiktok.com/@yaiifai.said/video/7176999475150474523?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure",0,0,0,0,0,0,0,0,0,1,1,0,101.0666667,3032,1024,576,30
19,Travel_19.mp4,train,https://www.tiktok.com/@tookteetooktang/video/7171037753138810139?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,52,1560,1024,576,30
20,Travel_20.mp4,test,https://www.tiktok.com/@travels_again/video/7286848716231773445?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,128.8,3864,1024,576,30
20,Travel_20.mp4,validation,https://www.tiktok.com/@travels_again/video/7286848716231773445?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Culture, Adventure, Food and drink",0,0,0,0,0,0,0,0,0,1,1,1,128.8,3864,1024,576,30
21,Travel_21.mp4,test,https://www.tiktok.com/@sneakoutclub/video/7313510585763630354,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,47.3,1419,1024,576,30
21,Travel_21.mp4,validation,https://www.tiktok.com/@sneakoutclub/video/7313510585763630354,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,47.3,1419,1024,576,30
22,Travel_22.mp4,train,https://www.tiktok.com/@yuipyn/video/7305795588505947398,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,58.53333333,1756,1024,576,30
23,Travel_23.mp4,test,https://www.tiktok.com/@yuipyn/video/7306462994253237510,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,39.7,1191,1024,576,30
23,Travel_23.mp4,validation,https://www.tiktok.com/@yuipyn/video/7306462994253237510,Travel,Food and drink,0,0,0,0,0,0,0,0,0,0,0,1,39.7,1191,1024,576,30
1,Beauty_1.mp4,test,https://www.tiktok.com/@zo_pim/video/7305788179842616581,Beauty and Fashion,Haircare,0,0,0,0,1,0,0,0,0,0,0,0,34.63333333,1039,1024,576,30
1,Beauty_1.mp4,validation,https://www.tiktok.com/@zo_pim/video/7305788179842616581,Beauty and Fashion,Haircare,0,0,0,0,1,0,0,0,0,0,0,0,34.63333333,1039,1024,576,30
1,Sport_1.mp4,test,https://www.tiktok.com/@tuanjai988/video/7217344363658104066,Sport and Fitness,Healthy Lifestyle and Weight Loss,1,0,0,0,0,0,0,0,0,0,0,0,10.33333333,310,1024,576,30
1,Sport_1.mp4,validation,https://www.tiktok.com/@tuanjai988/video/7217344363658104066,Sport and Fitness,Healthy Lifestyle and Weight Loss,1,0,0,0,0,0,0,0,0,0,0,0,10.33333333,310,1024,576,30
2,Sport_2.mp4,train,https://www.tiktok.com/@wanchai.30/video/7074138096824061211,Sport and Fitness,Healthy Lifestyle and Weight Loss,1,0,0,0,0,0,0,0,0,0,0,0,240.8,7224,1024,576,30
3,Sport_3.mp4,test,https://www.tiktok.com/@waternam.j/video/7257067217802579206?q=Healthy%20lifestyle&t=1703609701844,Sport and Fitness,Healthy Lifestyle and Weight Loss,1,0,0,0,0,0,0,0,0,0,0,0,52.06666667,1562,1024,576,30
3,Sport_3.mp4,validation,https://www.tiktok.com/@waternam.j/video/7257067217802579206?q=Healthy%20lifestyle&t=1703609701844,Sport and Fitness,Healthy Lifestyle and Weight Loss,1,0,0,0,0,0,0,0,0,0,0,0,52.06666667,1562,1024,576,30
4,Sport_4.mp4,train,https://www.tiktok.com/@waternam.j/video/7277084187058801926?q=Healthy%20lifestyle&t=1703609701844,Sport and Fitness,Healthy Lifestyle and Weight Loss,1,0,0,0,0,0,0,0,0,0,0,0,47.36666667,1421,1024,576,30
5,Sport_5.mp4,test,https://www.tiktok.com/@whanhorannie/video/7264080764436761862?q=%E0%B8%AD%E0%B8%AD%E0%B8%81%E0%B8%81%E0%B8%B3%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A2%20%E0%B8%A5%E0%B8%94%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%81&t=1703608823642,Sport and Fitness,Healthy Lifestyle and Weight Loss,1,0,0,0,0,0,0,0,0,0,0,0,15,450,1024,576,30
5,Sport_5.mp4,validation,https://www.tiktok.com/@whanhorannie/video/7264080764436761862?q=%E0%B8%AD%E0%B8%AD%E0%B8%81%E0%B8%81%E0%B8%B3%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A2%20%E0%B8%A5%E0%B8%94%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%81&t=1703608823642,Sport and Fitness,Healthy Lifestyle and Weight Loss,1,0,0,0,0,0,0,0,0,0,0,0,15,450,1024,576,30
8,Sport_8.mp4,train,https://www.tiktok.com/@vimbliss/video/7223430318554959109?q=%E0%B8%AD%E0%B8%AD%E0%B8%81%E0%B8%81%E0%B8%B3%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A2%20%E0%B8%A5%E0%B8%94%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%81&t=1703608823642,Sport and Fitness,"Healthy Lifestyle and Weight Loss, Weight Lifting",1,1,0,0,0,0,0,0,0,0,0,0,30,900,1024,576,30
82,Sport_82.mp4,test,https://www.tiktok.com/@callmeplayjoy/video/7168800887811394842?q=%E0%B9%80%E0%B8%A7%E0%B8%97%E0%B9%80%E0%B8%97%E0%B8%A3%E0%B8%99%E0%B8%99%E0%B8%B4%E0%B9%88%E0%B8%87&t=1703608129020,Sport and Fitness,"Healthy Lifestyle and Weight Loss, Weight Lifting",1,1,0,0,0,0,0,0,0,0,0,0,16.86666667,506,1024,576,30
82,Sport_82.mp4,validation,https://www.tiktok.com/@callmeplayjoy/video/7168800887811394842?q=%E0%B9%80%E0%B8%A7%E0%B8%97%E0%B9%80%E0%B8%97%E0%B8%A3%E0%B8%99%E0%B8%99%E0%B8%B4%E0%B9%88%E0%B8%87&t=1703608129020,Sport and Fitness,"Healthy Lifestyle and Weight Loss, Weight Lifting",1,1,0,0,0,0,0,0,0,0,0,0,16.86666667,506,1024,576,30
9,Sport_9.mp4,validation,https://www.tiktok.com/@travelandworkout/video/7294488878356958469?q=%E0%B9%82%E0%B8%A2%E0%B8%84%E0%B8%B0&t=1703593496885,Sport and Fitness,"Healthy Lifestyle and Weight Loss, Yoga",1,0,0,1,0,0,0,0,0,0,0,0,63.5,1905,1024,576,30
2,Beauty_2.mp4,train,https://www.tiktok.com/@zeechani/video/7311719880774962437,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,127.8333333,3835,1024,576,30
3,Beauty_3.mp4,test,https://www.tiktok.com/@zeechani/video/7312099213586861317,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,94.5,2835,1024,576,30
3,Beauty_3.mp4,validation,https://www.tiktok.com/@zeechani/video/7312099213586861317,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,94.5,2835,1024,576,30
4,Beauty_4.mp4,train,https://www.tiktok.com/@zeechani/video/7313521066356280582,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,162.8333333,4885,1024,576,30
5,Beauty_5.mp4,test,https://www.tiktok.com/@zeechani/video/7316388451870412038,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,72.1,2163,1024,576,30
5,Beauty_5.mp4,validation,https://www.tiktok.com/@zeechani/video/7316388451870412038,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,72.1,2163,1024,576,30
6,Beauty_6.mp4,train,https://www.tiktok.com/@zomtichamakeover/video/7308338240166153478,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,67.7,2031,1022,576,30
7,Beauty_7.mp4,test,https://www.tiktok.com/@zomtichamakeover/video/7309207200960974086,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,8.366666667,251,576,576,30
7,Beauty_7.mp4,validation,https://www.tiktok.com/@zomtichamakeover/video/7309207200960974086,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,8.366666667,251,576,576,30
8,Beauty_8.mp4,train,https://www.tiktok.com/@zomtichamakeover/video/7312454093627411717,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,103.2,3096,1024,576,30
9,Beauty_9.mp4,test,https://www.tiktok.com/@zomtichamakeover/video/7312812109874744581,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,39.5,1185,1024,576,30
9,Beauty_9.mp4,validation,https://www.tiktok.com/@zomtichamakeover/video/7312812109874744581,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,39.5,1185,1024,576,30
10,Beauty_10.mp4,train,https://www.tiktok.com/@zomtichamakeover/video/7313982897399057670,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,25.26666667,758,1024,576,30
11,Beauty_11.mp4,test,https://www.tiktok.com/@zomtichamakeover/video/7315806622159260936,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,116.4,3492,1280,720,30
11,Beauty_11.mp4,validation,https://www.tiktok.com/@zomtichamakeover/video/7315806622159260936,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,116.4,3492,1280,720,30
12,Beauty_12.mp4,train,https://www.tiktok.com/@zo_pim/video/7315250345888845062,Beauty and Fashion,Makeup,0,0,0,0,0,1,0,0,0,0,0,0,37.46666667,1124,1024,576,30
15,Beauty_15.mp4,train,https://www.tiktok.com/@zuiceshop/video/7313537798835834117,Beauty and Fashion,Outfit,0,0,0,0,0,0,0,1,0,0,0,0,17.9,537,1024,576,30
15,Beauty_15.mp4,test,https://www.tiktok.com/@zuiceshop/video/7313537798835834117,Beauty and Fashion,Outfit,0,0,0,0,0,0,0,1,0,0,0,0,17.9,537,1024,576,30
16,Beauty_16.mp4,validation,https://www.tiktok.com/@zuiceshop/video/7314664429671435526,Beauty and Fashion,Outfit,0,0,0,0,0,0,0,1,0,0,0,0,17.86666667,536,1024,576,30
17,Beauty_17.mp4,train,https://www.tiktok.com/@zulfatfazlan/video/7306077880792976646,Beauty and Fashion,Outfit,0,0,0,0,0,0,0,1,0,0,0,0,41.56666667,1247,1024,576,30
18,Beauty_18.mp4,test,https://www.tiktok.com/@zzdaozz/video/7308693027025915142,Beauty and Fashion,Outfit,0,0,0,0,0,0,0,1,0,0,0,0,117.8666667,3536,1024,576,30
18,Beauty_18.mp4,validation,https://www.tiktok.com/@zzdaozz/video/7308693027025915142,Beauty and Fashion,Outfit,0,0,0,0,0,0,0,1,0,0,0,0,117.8666667,3536,1024,576,30
19,Beauty_19.mp4,train,https://www.tiktok.com/@zzdaozz/video/7309850414885637382,Beauty and Fashion,Outfit,0,0,0,0,0,0,0,1,0,0,0,0,44.96666667,1349,1024,576,30
20,Beauty_20.mp4,test,https://www.tiktok.com/@zzdaozz/video/7312422265994497286,Beauty and Fashion,Outfit,0,0,0,0,0,0,0,1,0,0,0,0,148.1666667,4445,1024,576,30
20,Beauty_20.mp4,validation,https://www.tiktok.com/@zzdaozz/video/7312422265994497286,Beauty and Fashion,Outfit,0,0,0,0,0,0,0,1,0,0,0,0,148.1666667,4445,1024,576,30
21,Beauty_21.mp4,test,https://www.tiktok.com/@zzdaozz/video/7313191512626515201,Beauty and Fashion,Outfit,0,0,0,0,0,0,0,1,0,0,0,0,74.03333333,2221,1024,576,30
21,Beauty_21.mp4,validation,https://www.tiktok.com/@zzdaozz/video/7313191512626515201,Beauty and Fashion,Outfit,0,0,0,0,0,0,0,1,0,0,0,0,74.03333333,2221,1024,576,30
22,Beauty_22.mp4,train,https://www.tiktok.com/@zzdaozz/video/7315015381477838081,Beauty and Fashion,Outfit,0,0,0,0,0,0,0,1,0,0,0,0,89.76666667,2693,1024,576,30
23,Beauty_23.mp4,train,https://www.tiktok.com/@zzdaozz/video/7315387990837153026,Beauty and Fashion,Outfit,0,0,0,0,0,0,0,1,0,0,0,0,89.83333333,2695,1024,576,30
10,Sport_10.mp4,test,https://www.tiktok.com/@theboatzie/video/7272972450399276294?q=%E0%B8%A7%E0%B8%B4%E0%B9%88%E0%B8%87&t=1703606282389,Sport and Fitness,Running,0,0,1,0,0,0,0,0,0,0,0,0,60.2,1806,1024,576,30
10,Sport_10.mp4,validation,https://www.tiktok.com/@theboatzie/video/7272972450399276294?q=%E0%B8%A7%E0%B8%B4%E0%B9%88%E0%B8%87&t=1703606282389,Sport and Fitness,Running,0,0,1,0,0,0,0,0,0,0,0,0,60.2,1806,1024,576,30
11,Sport_11.mp4,train,https://www.tiktok.com/@ticerarenep/video/7142501713646341403,Sport and Fitness,Running,0,0,1,0,0,0,0,0,0,0,0,0,6.533333333,196,1024,576,30
12,Sport_12.mp4,test,https://www.tiktok.com/@tiktoodtok/video/7245893582920469766?q=%E0%B8%A7%E0%B8%B4%E0%B9%88%E0%B8%87&t=1703606282389,Sport and Fitness,Running,0,0,1,0,0,0,0,0,0,0,0,0,30.96666667,929,1024,576,30
12,Sport_12.mp4,validation,https://www.tiktok.com/@tiktoodtok/video/7245893582920469766?q=%E0%B8%A7%E0%B8%B4%E0%B9%88%E0%B8%87&t=1703606282389,Sport and Fitness,Running,0,0,1,0,0,0,0,0,0,0,0,0,30.96666667,929,1024,576,30
13,Sport_13.mp4,train,https://www.tiktok.com/@tombos/video/7273056236063526176?q=%E0%B8%A7%E0%B8%B4%E0%B9%88%E0%B8%87&t=1703606282389,Sport and Fitness,Running,0,0,1,0,0,0,0,0,0,0,0,0,86.6,2598,1024,576,30
14,Sport_14.mp4,test,https://www.tiktok.com/@tomphysiotherapist/video/7229695403673931014?q=%E0%B8%A7%E0%B8%B4%E0%B9%88%E0%B8%87&t=1703606282389,Sport and Fitness,Running,0,0,1,0,0,0,0,0,0,0,0,0,51.5,1545,1024,576,30
14,Sport_14.mp4,validation,https://www.tiktok.com/@tomphysiotherapist/video/7229695403673931014?q=%E0%B8%A7%E0%B8%B4%E0%B9%88%E0%B8%87&t=1703606282389,Sport and Fitness,Running,0,0,1,0,0,0,0,0,0,0,0,0,51.5,1545,1024,576,30
15,Sport_15.mp4,train,https://www.tiktok.com/@tonliew_10/video/7271221717446479109?q=%E0%B8%A7%E0%B8%B4%E0%B9%88%E0%B8%87&t=1703606282389,Sport and Fitness,Running,0,0,1,0,0,0,0,0,0,0,0,0,32.96666667,989,960,540,30
97,Sport_97.mp4,test,https://www.tiktok.com/@108kgdiary/video/7300761211682000134?q=%E0%B8%A7%E0%B8%B4%E0%B9%88%E0%B8%87&t=1703606282389,Sport and Fitness,Running,0,0,1,0,0,0,0,0,0,0,0,0,26.8,804,1024,576,30
97,Sport_97.mp4,validation,https://www.tiktok.com/@108kgdiary/video/7300761211682000134?q=%E0%B8%A7%E0%B8%B4%E0%B9%88%E0%B8%87&t=1703606282389,Sport and Fitness,Running,0,0,1,0,0,0,0,0,0,0,0,0,26.8,804,1024,576,30
25,Beauty_25.mp4,test,https://www.tiktok.com/@yuizzz/video/7309343376900427013,Beauty and Fashion,Skincare,0,0,0,0,0,0,1,0,0,0,0,0,63.9,1917,1024,576,30
25,Beauty_25.mp4,validation,https://www.tiktok.com/@yuizzz/video/7309343376900427013,Beauty and Fashion,Skincare,0,0,0,0,0,0,1,0,0,0,0,0,63.9,1917,1024,576,30
26,Beauty_26.mp4,train,https://www.tiktok.com/@yuizzz/video/7310057101685034245,Beauty and Fashion,Skincare,0,0,0,0,0,0,1,0,0,0,0,0,19.43333333,583,1024,576,30
27,Beauty_27.mp4,test,https://www.tiktok.com/@yuizzz/video/7314004929721421061,Beauty and Fashion,Skincare,0,0,0,0,0,0,1,0,0,0,0,0,101.6666667,3050,1024,576,30
27,Beauty_27.mp4,validation,https://www.tiktok.com/@yuizzz/video/7314004929721421061,Beauty and Fashion,Skincare,0,0,0,0,0,0,1,0,0,0,0,0,101.6666667,3050,1024,576,30
28,Beauty_28.mp4,train,https://www.tiktok.com/@yuizzz/video/7315278975582915845,Beauty and Fashion,Skincare,0,0,0,0,0,0,1,0,0,0,0,0,21.7,651,1024,576,30
29,Beauty_29.mp4,test,https://www.tiktok.com/@yuizzz/video/7316443928952048901,Beauty and Fashion,Skincare,0,0,0,0,0,0,1,0,0,0,0,0,109.9666667,3299,1024,576,30
29,Beauty_29.mp4,validation,https://www.tiktok.com/@yuizzz/video/7316443928952048901,Beauty and Fashion,Skincare,0,0,0,0,0,0,1,0,0,0,0,0,109.9666667,3299,1024,576,30
30,Beauty_30.mp4,train,https://www.tiktok.com/@zeechani/video/7313954770945854725,Beauty and Fashion,Skincare,0,0,0,0,0,0,1,0,0,0,0,0,89,2670,1024,576,30
17,Sport_17.mp4,test,https://www.tiktok.com/@winsoul8/video/7223919899708574981?q=%E0%B9%80%E0%B8%A7%E0%B8%97%E0%B9%80%E0%B8%97%E0%B8%A3%E0%B8%99%E0%B8%99%E0%B8%B4%E0%B9%88%E0%B8%87&t=1703608129020,Sport and Fitness,Weight Lifting,0,1,0,0,0,0,0,0,0,0,0,0,20.66666667,620,1024,576,30
